Date,Open,High,Low,Close,Volume,Adj Close
2001-12-31,14.10,14.23,13.80,13.81,29857600,12.730664
2001-12-28,14.06,14.36,14.01,14.06,24629700,12.961125
2001-12-27,14.10,14.25,13.87,13.99,31281100,12.896596
2001-12-26,14.26,14.70,14.08,14.09,26817000,12.98878
2001-12-24,14.41,14.64,14.23,14.34,12753700,13.219241
2001-12-21,14.79,14.94,14.35,14.38,59252900,13.256115
2001-12-20,14.85,14.91,14.40,14.49,44289800,13.357518
2001-12-19,14.81,15.40,14.78,14.92,59069000,13.753911
2001-12-18,15.00,15.30,14.91,15.05,40321500,13.873751
2001-12-17,14.45,15.00,14.40,14.79,32530700,13.634071
2001-12-14,14.65,14.70,14.31,14.57,54346500,13.431265
2001-12-13,14.74,15.25,14.39,14.67,52531500,13.52345
2001-12-12,15.28,15.45,14.75,15.10,44940700,13.919843
2001-12-11,15.71,15.76,15.10,15.11,41071500,13.929061
2001-12-10,15.64,16.02,15.25,15.42,35877600,14.214833
2001-12-07,15.74,15.95,15.55,15.91,42468600,14.666536
2001-12-06,15.61,16.030001,15.50,15.90,67014700,14.657317
2001-12-05,14.50,15.38,14.45,15.37,113746800,14.16874
2001-12-04,13.87,13.90,13.32,13.80,47757100,12.721446
2001-12-03,13.82,14.27,13.65,13.70,42093800,12.629261
2001-11-30,14.41,14.78,13.68,14.03,74143100,12.933469
2001-11-29,14.32,14.50,14.00,14.19,36810100,13.080964
2001-11-28,14.32,14.88,14.07,14.12,30083900,13.016436
2001-11-27,14.57,14.92,14.23,14.42,36021500,13.292989
2001-11-26,14.54,14.79,14.45,14.74,32643100,13.587979
2001-11-23,14.14,14.45,14.08,14.41,10846300,13.28377
2001-11-21,14.50,14.72,13.97,14.08,33836400,12.979562
2001-11-20,14.80,15.18,14.54,14.56,40052100,13.422047
2001-11-19,14.82,15.05,14.50,14.87,30458900,13.707818
2001-11-16,14.86,14.92,14.37,14.55,40618100,13.412829
2001-11-15,14.68,15.25,14.50,14.79,41385800,13.634071
2001-11-14,14.83,15.07,14.20,14.92,52842700,13.753911
2001-11-13,15.13,15.27,14.28,14.52,89914000,13.385174
2001-11-12,15.14,15.53,14.64,15.40,27878300,14.196395
2001-11-09,15.37,15.69,15.18,15.38,29770800,14.177959
2001-11-08,15.63,16.280001,15.22,15.45,46697600,14.242488
2001-11-07,15.06,15.94,15.00,15.58,44046600,14.362328
2001-11-06,14.68,15.29,14.44,15.22,34708200,14.030464
2001-11-05,14.82,15.15,14.60,14.96,35243400,13.790785
2001-11-02,14.11,14.55,13.90,14.45,30795000,13.320644
2001-11-01,13.59,14.22,13.42,14.17,37005300,13.062528
2001-10-31,13.87,14.18,13.47,13.56,36448300,12.500203
2001-10-30,13.33,13.82,13.10,13.50,39623500,12.444892
2001-10-29,13.42,13.86,13.21,13.40,39469900,12.352708
2001-10-26,13.71,14.08,13.40,13.58,46623900,12.51864
2001-10-25,14.00,14.10,13.26,13.95,82909100,12.859722
2001-10-24,14.67,15.07,14.43,14.66,59223700,13.514231
2001-10-23,15.04,15.48,14.80,15.01,38775600,13.836877
2001-10-22,14.32,14.99,14.21,14.95,24091900,13.781566
2001-10-19,14.08,14.61,13.85,14.54,35524500,13.40361
2001-10-18,13.71,14.46,13.59,14.26,40798900,13.145494
2001-10-17,15.27,15.35,13.63,13.66,54189200,12.592387
2001-10-16,14.55,14.98,14.39,14.94,32793500,13.772347
2001-10-15,14.47,14.74,14.21,14.44,49779400,13.311425
2001-10-12,14.56,14.95,14.20,14.94,41655100,13.772347
2001-10-11,14.53,15.00,14.50,14.97,49702400,13.800003
2001-10-10,13.50,14.45,13.38,14.29,38833200,13.173149
2001-10-09,14.02,14.05,13.42,13.70,28599600,12.629261
2001-10-08,13.81,14.40,13.63,13.90,30967900,12.81363
2001-10-05,13.51,14.42,13.37,14.20,39470600,13.090183
2001-10-04,14.10,14.59,13.61,13.79,57506300,12.712227
2001-10-03,12.37,14.16,12.23,13.66,71058700,12.592387
2001-10-02,12.52,12.84,12.34,12.60,42296100,11.615233
2001-10-01,12.47,12.70,12.18,12.58,30206800,11.596796
2001-09-28,12.17,12.74,12.07,12.58,44276500,11.596796
2001-09-27,11.97,12.32,11.77,12.04,41609600,11.099
2001-09-26,12.49,12.54,11.92,12.20,39057600,11.246495
2001-09-25,12.66,13.06,12.15,12.25,57355300,11.292588
2001-09-24,11.30,12.74,11.25,12.52,76525500,11.541486
2001-09-21,10.19,11.15,10.16,10.76,80169100,9.91904
2001-09-20,10.79,11.54,10.74,11.31,57281700,10.426055
2001-09-19,11.23,11.53,10.26,11.20,67253400,10.324651
2001-09-18,10.95,11.63,10.70,11.38,77758800,10.490584
2001-09-17,10.29,11.30,10.24,11.01,63861900,10.149501
2001-09-10,10.89,11.52,10.85,11.46,53889500,10.564331
2001-09-07,10.86,11.31,10.55,11.07,48172100,10.204812
2001-09-06,11.82,12.05,10.85,10.92,74982200,10.066535
2001-09-05,12.25,12.54,11.62,12.07,58220600,11.126655
2001-09-04,12.53,13.03,12.01,12.08,45400800,11.135874
2001-08-31,12.10,12.83,12.04,12.21,38723800,11.255714
2001-08-30,13.08,13.40,11.82,12.00,76405600,11.062127
2001-08-29,14.20,14.21,13.24,13.35,43939900,12.306616
2001-08-28,14.94,15.00,13.98,14.01,36618900,12.915033
2001-08-27,15.13,15.28,14.75,14.93,23745200,13.76313
2001-08-24,14.41,15.29,14.11,15.19,33658100,14.002808
2001-08-23,14.52,15.03,14.00,14.01,31620300,12.915033
2001-08-22,14.38,14.78,14.02,14.64,28870500,13.495795
2001-08-21,14.87,15.25,14.08,14.13,28873200,13.025654
2001-08-20,14.70,14.92,14.42,14.81,25332300,13.652508
2001-08-17,14.90,15.09,14.63,14.72,25901300,13.569542
2001-08-16,14.82,15.35,14.67,15.31,38077500,14.11343
2001-08-15,15.61,15.82,14.96,15.01,33463100,13.836877
2001-08-14,15.93,16.32,15.46,15.55,37069400,14.334673
2001-08-13,15.04,15.91,14.77,15.69,47255700,14.46373
2001-08-10,15.78,15.92,15.00,15.16,61738800,13.975153
2001-08-09,16.32,16.42,15.85,15.99,46391600,14.740284
2001-08-08,17.040001,17.60,16.15,16.299999,47257900,15.026055
2001-08-07,17.40,17.440001,17.01,17.24,33877700,15.892588
2001-08-06,17.68,18.01,17.309999,17.459999,24829900,16.095393
2001-08-03,18.32,18.34,17.90,18.00,28608900,16.59319
