Date,Open,High,Low,Close,Volume,Adj Close
2001-12-31,22.51,22.66,21.830001,21.900001,34445600,1.432143
2001-12-28,21.970001,23.000001,21.96,22.429999,74781000,1.466802
2001-12-27,21.58,22.25,21.58,22.069999,47877200,1.44326
2001-12-26,21.35,22.30,21.14,21.49,36600200,1.405331
2001-12-24,20.899999,21.45,20.899999,21.36,12657400,1.39683
2001-12-21,21.01,21.540001,20.80,21.00,64083600,1.373288
2001-12-20,21.400001,21.470001,20.62,20.670001,55216000,1.351708
2001-12-19,20.58,21.680001,20.47,21.619999,72489200,1.413833
2001-12-18,20.890001,21.329999,20.220001,21.01,58809800,1.373942
2001-12-17,20.40,21.00,20.19,20.62,43428000,1.348438
2001-12-14,20.73,20.829999,20.089999,20.389999,47471200,1.333397
2001-12-13,21.49,21.549999,20.50,21.00,49460600,1.373288
2001-12-12,21.87,21.919999,21.250001,21.49,48115200,1.405331
2001-12-11,22.67,22.850001,21.65,21.779999,51368800,1.424296
2001-12-10,22.289999,22.99,22.23,22.54,42502600,1.473996
2001-12-07,22.46,22.710001,22.00,22.54,50878800,1.473996
2001-12-06,23.48,23.50,22.139999,22.780001,84733600,1.489691
2001-12-05,22.359999,24.029999,22.17,23.76,142144800,1.553777
2001-12-04,21.049999,22.560001,20.72,22.40,95104800,1.464841
2001-12-03,21.06,21.28,20.599999,21.049999,45291400,1.376558
2001-11-30,20.47,21.44,20.25,21.30,75978000,1.392906
2001-11-29,20.599999,20.70,20.19,20.42,50691200,1.335359
2001-11-28,20.85,21.21,20.41,20.529999,62652800,1.342553
2001-11-27,21.20,21.52,20.50,21.00,67138400,1.373288
2001-11-26,19.940001,21.549999,19.879999,21.37,115172400,1.397484
2001-11-23,19.710001,19.949999,19.570001,19.84,15001000,1.29743
2001-11-21,19.61,19.799999,19.26,19.68,50395800,1.286967
2001-11-20,19.82,20.20,19.500001,19.53,69146000,1.277158
2001-11-19,18.999999,20.05,18.96,20.00,83147400,1.307893
2001-11-16,19.27,19.289999,18.400001,18.97,57666000,1.240537
2001-11-15,19.45,19.90,19.23,19.45,53257400,1.271926
2001-11-14,19.589999,19.90,19.149999,19.61,55287400,1.282389
2001-11-13,19.079999,19.39,18.709999,19.369999,56168000,1.266695
2001-11-12,18.66,19.17,17.960001,18.75,50374800,1.22615
2001-11-09,18.60,19.25,18.550001,18.709999,33573400,1.223534
2001-11-08,19.63,19.89,18.569999,18.709999,85535800,1.223534
2001-11-07,19.46,20.13,19.33,19.589999,95747400,1.281082
2001-11-06,18.96,19.62,18.53,19.570001,79004800,1.279774
2001-11-05,18.840001,19.25,18.61,19.069999,58948400,1.247076
2001-11-02,18.52,18.859999,18.16,18.569999,49301000,1.214379
2001-11-01,17.65,18.779999,17.249999,18.59,78248800,1.215687
2001-10-31,17.73,18.400001,17.44,17.56,68437600,1.14833
2001-10-30,17.380001,18.00,17.06,17.600001,69190800,1.150946
2001-10-29,18.569999,18.67,17.600001,17.63,59795400,1.152908
2001-10-26,18.859999,19.25,18.620001,18.67,69741000,1.220918
2001-10-25,18.44,19.25,18.16,19.19,63737800,1.254924
2001-10-24,18.059999,19.09,17.750001,18.95,93606800,1.239229
2001-10-23,19.12,19.420001,17.87,18.14,171245200,1.186259
2001-10-22,18.21,19.069999,18.09,19.02,97984600,1.243807
2001-10-19,17.94,18.400001,17.88,18.30,41697600,1.196722
2001-10-18,17.29,18.23,17.29,18.00,153143200,1.177104
2001-10-17,18.339999,18.410001,16.959999,16.99,71384600,1.111055
2001-10-16,18.09,18.199999,17.77,18.01,50737400,1.177758
2001-10-15,17.95,18.38,17.95,17.99,79688000,1.17645
2001-10-12,17.310001,18.08,16.86,18.01,71953000,1.177758
2001-10-11,16.92,17.74,16.85,17.74,83540800,1.160101
2001-10-10,16.10,16.85,15.95,16.819999,76939800,1.099938
2001-10-09,16.05,16.20,15.630001,16.000001,43506400,1.046315
2001-10-08,15.569999,16.35,15.499999,16.20,51996000,1.059394
2001-10-05,15.40,16.150001,14.989999,16.140001,85671600,1.05547
2001-10-04,15.349999,16.25,14.989999,15.88,100280600,1.038467
2001-10-03,14.95,15.359999,14.830001,14.980001,170760800,0.979612
2001-10-02,15.429999,15.83,14.88,15.050001,58970800,0.98419
2001-10-01,15.490001,15.99,15.23,15.54,52052000,1.016233
2001-09-28,15.710001,15.91,15.39,15.51,91277200,1.014271
2001-09-27,15.25,15.75,15.200001,15.51,80560200,1.014271
2001-09-26,15.81,15.89,14.93,15.15,123449200,0.990729
2001-09-25,16.140001,16.220001,15.349999,15.54,93601200,1.016233
2001-09-24,16.11,16.84,15.95,16.449999,73634400,1.075742
2001-09-21,14.80,16.25,14.680001,15.73,142629200,1.028658
2001-09-20,16.290001,16.950001,15.499999,15.68,102793600,1.025388
2001-09-19,16.50,17.099999,15.60,17.020001,93329600,1.113017
2001-09-18,16.90,17.72,16.17,16.28,81775400,1.064625
2001-09-17,16.000001,17.07,15.73,16.99,114501800,1.111055
2001-09-10,17.00,17.50,16.92,17.37,77211400,1.135905
2001-09-07,17.50,18.10,17.20,17.28,60457600,1.13002
2001-09-06,18.400001,18.929999,17.65,17.72,70592200,1.158794
2001-09-05,18.24,18.95,18.119999,18.550001,90014400,1.213071
2001-09-04,18.50,19.079999,18.180001,18.25,87053400,1.193453
2001-08-31,17.73,18.60,17.65,18.550001,54226200,1.213071
2001-08-30,17.74,18.180001,17.28,17.829999,92173200,1.165987
2001-08-29,18.44,18.83,17.829999,17.829999,59992800,1.165987
2001-08-28,18.90,19.140001,18.400001,18.400001,42933800,1.203262
2001-08-27,18.60,19.299999,18.16,18.920001,43911000,1.237267
2001-08-24,18.00,18.620001,17.65,18.569999,72583000,1.214379
2001-08-23,18.199999,18.339999,17.58,17.81,54269600,1.164679
2001-08-22,17.94,18.25,17.609999,18.21,43493800,1.190837
2001-08-21,18.14,18.14,17.70,17.92,46425400,1.171872
2001-08-20,18.14,18.23,17.81,18.119999,63075600,1.184951
2001-08-17,18.00,18.45,17.99,18.07,52106600,1.181682
2001-08-16,18.269999,18.75,17.970001,18.65,72023000,1.219611
2001-08-15,18.76,18.94,18.199999,18.44,72319800,1.205878
2001-08-14,19.200001,19.359999,18.67,18.73,57237600,1.224842
2001-08-13,19.10,19.33,18.76,19.09,36999200,1.248384
2001-08-10,19.04,19.32,18.59,19.02,46740400,1.243807
2001-08-09,18.96,19.149999,18.72,19.05,50166200,1.245768
2001-08-08,19.26,19.70,18.54,18.90,69042400,1.235959
2001-08-07,19.33,19.67,18.98,19.25,42137200,1.258847
2001-08-06,19.04,19.659999,18.999999,19.130001,24913000,1.251
2001-08-03,19.89,19.90,18.999999,19.500001,46513600,1.275196
2001-08-02,19.650001,19.869999,19.26,19.82,63022400,1.296122
2001-08-01,19.01,19.78,18.95,19.060001,76034000,1.246422
2001-07-31,19.27,19.420001,18.51,18.789999,58756600,1.228766
2001-07-30,19.12,19.359999,18.51,18.929999,60839800,1.237921
2001-07-27,18.75,19.25,18.50,18.96,83533800,1.239883
2001-07-26,18.480001,18.80,17.85,18.59,92285200,1.215687
2001-07-25,19.12,19.299999,17.970001,18.470001,110969600,1.20784
2001-07-24,19.39,19.92,18.73,19.09,87094000,1.248384
2001-07-23,20.089999,20.50,19.509999,19.54,60340000,1.277812
2001-07-20,19.70,20.06,19.49,19.98,111146000,1.306586
2001-07-19,21.23,21.42,19.75,19.96,215285000,1.305278
2001-07-18,21.779999,22.780001,20.42,20.79,284253200,1.359555
2001-07-17,23.98,25.22,23.009999,25.10,161957600,1.641406
2001-07-16,24.88,25.10,23.91,23.959999,69666800,1.566856
2001-07-13,24.13,25.01,23.84,24.85,113685600,1.625058
2001-07-12,23.299999,24.81,23.299999,24.36,153700400,1.593014
2001-07-11,21.030001,22.55,21.00,22.54,117626600,1.473996
2001-07-10,22.95,23.070001,20.84,21.14,98817600,1.382443
2001-07-09,22.09,23.000001,21.680001,22.700001,84366800,1.484459
2001-07-06,22.76,22.96,21.72,22.03,75730200,1.440645
2001-07-05,23.599999,23.77,23.009999,23.19,38073000,1.516502
2001-07-03,23.510001,24.179999,23.50,23.84,28135800,1.559009
2001-07-02,23.64,24.23,23.140001,23.90,57512000,1.562933
2001-06-29,23.660001,25.10,23.20,23.25,128847600,1.520426
2001-06-28,23.05,23.91,22.939999,23.54,87102400,1.539391
2001-06-27,23.83,24.00,22.499999,23.34,93532600,1.526312
2001-06-26,23.34,23.77,23.009999,23.75,68195400,1.553123
2001-06-25,22.499999,24.00,22.45,23.99,109887400,1.568818
